Market 1 NTP Number,AREA,SOW TSD Date,Vendor Assignment,Date Assigned,Assigned Supervisor,Penguin ID,HHP,On Track or In Jeopardy,Permit Status,Blockers/Risks,Door Tag Date,SOW Received,SOW Estimated Cost,NTP Received,Constuction Status,Locate Date,Restoration Completed,QC Requested Date,QC Sheet Phase 1 Received ,QC Sheet Phase 2 Received ,Footage UG,Actual Redline Completed Footage UG,Footage Remaining,UG Percentage Complete,Construction Start Date,Construction End Date,Fiber Placement  Percentage Complete,Splicing Percentage Complete,Fiber Placement and Splice Only Footage ,Notes
D-HPP608,Clearwater,46325,Lightspeed In-House,46161,Robert Portee,PPM111675,94,On Track,Received,,,Yes,94021.5,Yes,In Process,46162,,,,,7741,1005,6736,0.129828187572665,46241,,0,0,0,5/1 NTP Package Received./Whitelined  5-19/ locates called 5-20/Will be dortagged 5-21/Pending Locates cleared
D-HPP626,Clearwater,46325,Brothers,46171,Anthony Adum,,75,On Track,Received,,,Yes,95477,Yes,In Process,46198,,,,,7966,5984,1982,0.751192568415767,46213,,0,0,0,5/1 NTP Package Received.
D-HPP627,Clearwater,46325,Brothers,46170,Marcelo Zaldivar,,97,On Track,Received,,,Yes,94688.5,Yes,In Process,46176,,,,,7856,4675,3181,0.595086558044806,46190,,0,0,0,5/1 NTP Package Received.
D-HPP629,Clearwater,46325,Brothers,46170,Anthony Adum,,51,On Track,Received,,,Yes,91700,Yes,In Process,46176,,,,,7529,7126,403,0.946473635276929,46191,,0,0,0,5/1 NTP Package Received.
D-HPP630,Clearwater,46325,Brothers,46171,Marcelo Zaldivar,,67,On Track,Received,,,Yes,100866,Yes,In Process,46175,,,,,9021,8341,680,0.924620330340317,46195,,0,0,0,5/1 NTP Package Received.
D-HPP631,Clearwater,46325,Brothers,46170,Treyvon Tillman,,93,On Track,Received,,,Yes,104934,Yes,In Process,46176,,,,,8701,5746,2955,0.660383863923687,46191,,0,0,0,5/1 NTP Package Received.
D-HPP635,Clearwater,46325,NIA Underground,46182,John E Williams,,57,On Track,Received,,,Yes,106431.5,Yes,In Process,46183,,,,,8751,7047,1704,0.805279396640384,46216,,0,0,0,5/12 NTP Package Received.
D-HPP636,Clearwater,46325,Brothers,46182,Anthony Adum,,86,On Track,Received,,,Yes,97386.5,Yes,In Process,46188,,,,,7996,7365,631,0.921085542771386,46219,,0,0,0,5/1 NTP Package Received.
D-HPP637,Clearwater,46325,Lightspeed In-House,46171,Treyvon Tillman,,40,On Track,Received,,46182,Yes,91774,Yes,In Process,46171,,,,,7530,3276,4254,0.435059760956175,46217,,0,0,0,5/1 NTP Package Received.
D-HPP638,Clearwater,46325,Lightspeed In-House,47267,Treyvon Tillman,,88,On Track,Received,,46181,Yes,81059.5,Yes,In Process,46174,,,,,6647,4385,2262,0.659696103505341,46188,,0,0,0,5/1 NTP Package Received.
FB-HPP631,Clearwater,46325,Brothers,46155,Anthony Adum,PPM111690 ,0,On Track,Received,,46154,Yes,65477.3,Yes,Locates Called,46157,,,,,5318,,5318,0,,,0,0,0,5/15 - Door Tagged/Whitelined - Locates called - 5/1 NTP Package Received.
D-HNP108/D-H0102E,St Petersburg,46080,Kattle One/LSCG,46018,John E Williams,PPM91941,89,On Track,Received,,46028,Yes,72131.5,Yes,In Process,46014,,,,,6182,5899,283,0.954221934648981,45891,,0,0,0,"5/11 - Stop work in place for City of St. Pete till 5/15 - 5/4 Will have to redrill 380' K1 drilled to deep and did not install the 2 tobys, Locates Called in  - 4-28 JW // REPAIRED 1 OF 2 DAPs. NEED TO FIND ISSUE WITH THE 2ND DAP LOCATION - 3.16 JW // LSCG QC discovered missing section of Route 2, called in locates and they are pending"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market 1 NTP Number Pinellas,AREA,SOW TSD Date,Vendor Assignment,Date Assigned,Assigned Supervisor,Penguin ID,HHP,On Track or In Jeopardy,Permit Status,Blockers/Risks,Door Tag Date,SOW Received,SOW Estimated Cost,NTP Received,Constuction Status,Locate Date,Restoration Completed,QC Requested Date,QC Sheet Phase 1 Received ,QC Sheet Phase 2 Received ,Footage UG,Actual Redline Completed Footage UG,Footage Remaining,UG Percentage Complete,Construction Start Date,Construction End Date,Fiber Placement  Percentage Complete,Splicing Percentage Complete,Fiber Placement and Splice Only Footage ,Notes
D-HPP303,Pinellas,46262,R&F Underground Construction Inc,46171,Joshua Pacheco,,35,On Track,Received,,46183,Yes,98498,Yes,In Process,46183,,,,,7699,8024,-325,1.04221327445123,46195,,0,0,0,5/29 NTP Package Received--PO Received 6/1
D-HPP311,Pinellas,46262,Legant Livings,46181,Joshua Pacheco,,85,On Track,Received,,46181,Yes,62709,Yes,In Process,46178,,,,,5055,5090,-35,1.00692383778437,46188,,0,0,0,5/29 NTP Package Received--PO Received 6/1
D-HPP314,Pinellas,46262,Power Connect,46197,Matthew Nunes,MAN112114,69,On Track,Received,,46198,Yes,99986.2,Yes,In Process,46198,,,,,8137,4649,3488,0.571340788988571,,,0,0,0,6/18 NTP Package Received...6-29-26 permit called in
D-HLC505,Pinellas,46290,NIA Underground,,,,41,On Track,Received,,46225,Yes,78963.5,Yes,Locates Called,46225,,,,,5973,,7950,0,,,0,0,0,7/13 NTP Package Received. 7/17 PO Received And Approved.
D-HLC506,Pinellas,46290,Brothers,46223,Anthony Adum,,83,On Track,Received,,46232,Yes,63582,Yes,Locates Called,46232,,,,,5259,,5259,0,,,0,0,0,7/20 NTP and PO Received.
D-HLC507,Pinellas,46290,ASM Utilities,46223,Treyvon Tillman,,63,On Track,Received,,46224,Yes,78078,Yes,Not Started,,,,,,6335,,4241,0,,,0,0,0,7/13 NTP Package Received. 7/17 PO Received And Approved.
D-HLC508,Pinellas,46290,ASM Utilities,46223,Treyvon Tillman,,69,On Track,Received,,,Yes,84458.5,Yes,Not Started,,,,,,6831,,5374,0,,,0,0,0,7/13 NTP Package Received. 7/17 PO Received And Approved.
D-HLC510,Pinellas,46290,Full Circle/LSCG,46223,Treyvon Tillman,,102,On Track,Received,,46224,Yes,59181,Yes,Locates Called,46230,,,,,4718,,8078,0,,,0,0,0,7/13 NTP Package Received. 7/17 PO Received And Approved.
D-HLC511,Pinellas,46290,Full Circle/LSCG,46223,Treyvon Tillman,,93,On Track,Received,,46224,Yes,72479.5,Yes,Locates Called,46227,,,,,5861,,7140,0,,,0,0,0,7/13 NTP Package Received. 7/17 PO Received And Approved.
D-HLC512,Pinellas,46290,Brothers,46223,Anthony Adum,,67,On Track,Received,,46226,Yes,86106.8,Yes,Locates Called,46226,,,,,7115,,7115,0,,,0,0,0,7/14 NTP Package Received
D-HLC513,Pinellas,46290,Power Connect,46219,Matthew Nunes,PPM112719,91,On Track,Received,,,Yes,79458,Yes,Not Started,,,,,,6519,,5454,0,,,0,0,0,7/13 NTP Package Received. 7/17 PO Received And Approved.
D-HLC514,Pinellas,46290,APT Communications  ,46219,Joshua Pacheco,PPM112724,83,On Track,Received,,46223,Yes,87651,Yes,Locates Called,46223,,,,,7199,,8272,0,,,0,0,0,7/13 NTP Package Received. 7/17 PO Received And Approved.
D-HLC515,Pinellas,46290,Randy's Utilities,46241,Joshua Pacheco,,18,On Track,Received,,,Yes,80560,Yes,Not Started,,,,,,6416,,6416,0,,,0,0,0,8/5 NTP Package Received--8/6 PO Received.
D-HLC516,Pinellas,46290,R&F Underground Construction Inc,46241,Joshua Pacheco,,90,On Track,Received,,46237,Yes,113855.5,Yes,Locates Called,46237,,,,,8970,,8970,0,,,0,0,0,7/31 NTP Package Received.
D-HLC517,Pinellas,46290,ASM Utilities,46219,Matthew Nunes,PPM112721,83,On Track,Received,,,Yes,79947,Yes,Not Started,,,,,,6058,,6058,0,,,0,0,0,7/14 NTP Package Received
D-HLC518,Pinellas,46290,ASM Utilities,46219,Matthew Nunes,PPM112722,93,On Track,Received,,,Yes,74446.5,Yes,Not Started,,,,,,5775,,5775,0,,,0,0,0,7/14 NTP Package Received
D-HLC519,Pinellas,46290,Brothers,46223,Anthony Adum,,44,On Track,Received,,,Yes,84001.5,Yes,Not Started,,,,,,6969,,6969,0,,,,,,7/31 NTP Package Received.
FB-HLC512,Pinellas,46290,Brothers,46223,Anthony Adum,PPM112758,0,On Track,Received,,46225,Yes,71505.7,Yes,In Process,46225,,,,,5642,745,2879,0.132045373980858,46241,,0,0,0,7/13 NTP Package Received
FB-HLC519,Pinellas,46290,Power Connect,46219,Matthew Nunes,PPM112720,0,On Track,Received,,,Yes,25127.05,Yes,Not Started,,,,,,2013,,2013,0,,,0,0,0,7/14 NTP Package Received
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market 2 NTP Number,AREA,SOW TSD Date,Vendor Assignment,Date Assigned,Assigned Supervisor,Penguin ID,HHP,On Track or In Jeopardy,Permit Status,Blockers/Risks,Door Tag Date,SOW Received,SOW Estimated Cost,NTP Received,Constuction Status,Locate Date,Restoration Completed,QC Requested Date,QC Sheet Phase 1 Received ,QC Sheet Phase 2 Received ,Footage UG,Actual Redline Completed Footage UG,Footage Remaining,UG Percentage Complete,Construction Start Date,Construction End Date,Fiber Placement  Percentage Complete,Splicing Percentage Complete,Fiber Placement and Splice Only Footage ,Notes
D-HWP603,Lakeland,46041,,,,PLK105393,43,On Track,Pending,On Hold Per Tillman,,Yes,47561.5,Yes,Not Started,,,,,,3905,,3905,0,,,0,0,0,11/11 Pending Permit.
FB-HWP376,Lakeland,46006,Brothers,45936,Miguel Herrero,PLK102584,0,On Track,Received,On Hold Per Tillman,N/A,Yes,54857.5,Yes,In Process,45933,,,,,4104,3928,176,0.957115009746589,45938,,0,0,0,"9/29 FDOT Permit Received.Assigned to brothers 9-30/CX Began 10/8. 10/21 FDOT is complete, wtg on city permit 12-15"
FB-HWP476,Lakeland,46233,J. Garcia Underground,46169,Miguel Herrero,PLK111960,0,On Track,Received,,N/A,Yes,88403.8,Yes,In Process,46169,,,,,6992,6595,397,0.943220823798627,46195,,0,0,0,5/26 NTP Package Received/White lined and Locates done 5-27-2026/ -- 6-15-26 waiting on water locates and encroachment./Cx start 6-22/Locates were refreshed due to expiration 6-26/City portion completed. DOT crossing US 98N scheduled for 7/13./Pending Encroachment Agreement for I4 from Tillman
FB-HWP881,Lakeland,46142,Splice Only Project,,Eric,PLK105476,0,On Track,Received,On Hold Per Tillman,,Yes,255.05,Yes,Locates Called,,,,,,3,,3,0,,,0,0,0,11/17 Pending Permit.-Splice Only Project.
FB-HWP876,Lakeland,46052,,45866,Miguel Herrero,PLK98825,0,On Track,Pending,On Hold Per Tillman,45866,Yes,18401.05,Yes,Not Started,45866,,,,,1403,,1403,0,,,0,0,0,"Need city, App only. 7/28- Assigned to Brothers LOC/DT requested. LC 12-30"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
